Company Name,Url,Twitter Handle,Date added,Country 1,City 1,Country 2,City 2,Country 3,City 3,Country 4,City 4,Country 5,City 5,Country 6,City 6,Country 7,City 7,Country 8,City 8,Country 9,City 9,Country 10,City 10,Country 11,City 11,Country 12,City 12,Country 13,City 13,Country 14,City 14,Country 15,City 15,Country 16,City 16,Country 17,City 17,Country 18,City 18,Country 19,City 19,Country 20,City 20,Country 21,City 21,Country 22,City 22,Country 23,City 23,Country 24,City 24,Country 25,City 25
Sixth Story,https://sixthstory.co.uk/,sixth_story,,England,Birmingham,England,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boxer,http://www.boxerbranddesign.com/,Boxertweets,,England,Birmingham,United States,"Chicago, IL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supercool,http://www.supercooldesign.co.uk/,,,England,Birmingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salad Creative,https://saladcreative.com/,SaladCreative,,England,Bournemouth,England,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parent,http://www.madebyparent.com/,madebyparent,,England,Bournemouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mega,http://www.mega.agency/,wearemega_uk,,England,Bournemouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i love dust,http://www.ilovedust.com/,ilovedust,,England,Brighton,England,Portsmouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eight Day,http://eighthday.co.uk/,eighthdaydesign,,England,Brighton,Scotland,Edinburgh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crush Creative,http://crushed.co.uk/,crushcreative,,England,Brighton,United States,"New York City, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baxter & Bailey,http://www.baxterandbailey.co.uk/,baxterandbailey,,England,Brighton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filthy,http://www.filthymedia.com/,filthymedia,,England,Brighton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Very Own Studio,http://veryownstudio.com/,VeryOwnStudio,,England,Brighton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harrison Agency,http://harrison-agency.com/,Harrison_Agency,,England,Brighton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neo,http://www.weareneo.com/,weareneo,,England,Brighton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Studio Makgill,http://www.studiomakgill.com/,studiomakgill,,England,Brighton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orca,http://www.onlyorca.com/,onlyorca,,England,Bristol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiasco,https://fiasco.design/,fiascodesign,,England,Bristol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robson Dowry,http://www.robsondowry.co.uk/,robsondowry,,England,Bristol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taxi Studio,http://www.taxistudio.co.uk/,taxistudio,,England,Bristol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thirteen,https://www.thirteen.co.uk/,_ThirteenStudio,,England,Bristol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthew Fairweather,http://www.matthewfairweather.com/,,,England,Bristol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BigFan,https://bigfan.agency/,bigfanagency,,England,Bristol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Studio B,https://www.weareb.co.uk/,_weareb,,England,Bristol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The District,https://www.thedistrict.co.uk/,_TheDistrict,,England,Cambridge,England,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Circus,http://www.thecircus.uk.com/,thecircusdesign,,England,Chatham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkes Werks,http://burkeswerks.com/,burkeswerks,,England,Chichester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silk Pearce,http://www.silkpearce.com/,Silk_Pearce,,England,Colchester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friends,http://www.designbyfriends.co.uk/,designbyFriends,,England,Cornwall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nixon,http://www.nixondesign.com/,nixondesign,,England,Cornwall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wetdog Creative,http://www.wetdogcreative.co.uk/,wetdogcreative,,England,Cornwall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-side Studio,http://www.a-sidestudio.co.uk/,,,England,Cornwall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alt,https://www.alt-design.net/,_altdesign,,England,Derby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leterme Dowling,http://letermedowling.com/,letermedowling,,England,Diss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bison Bison,http://www.bisonbison.co.uk/,bisondesign,,England,Epsom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Believe in,http://www.believein.net/,believeindesign,,England,Exeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buddy,http://www.buddycreative.com/,buddy_creative,,England,Exeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OUNO,http://www.ouno.co.uk/,ounocreative,,England,Farnborough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
